STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,sector,Sector,cofog99,Classification of the functions of government (COFOG 1999),na_item,National accounts indicator (ESA 2010),geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:GOV_10A_EXP(1.0),General government expenditure by function (COFOG),A,Annual,MIO_EUR,Million euro,S13,General government,TOTAL,Total,TE,Total general government expenditure,DE,Germany,2017,,1484552.0,,,,,
dataflow,ESTAT:GOV_10A_EXP(1.0),General government expenditure by function (COFOG),A,Annual,MIO_EUR,Million euro,S13,General government,TOTAL,Total,TE,Total general government expenditure,DE,Germany,2018,,1533328.0,,,,,
dataflow,ESTAT:GOV_10A_EXP(1.0),General government expenditure by function (COFOG),A,Annual,MIO_EUR,Million euro,S13,General government,TOTAL,Total,TE,Total general government expenditure,DE,Germany,2019,,1610615.0,,,,,
dataflow,ESTAT:GOV_10A_EXP(1.0),General government expenditure by function (COFOG),A,Annual,MIO_EUR,Million euro,S13,General government,TOTAL,Total,TE,Total general government expenditure,DE,Germany,2020,,1763784.0,,,,,
dataflow,ESTAT:GOV_10A_EXP(1.0),General government expenditure by function (COFOG),A,Annual,MIO_EUR,Million euro,S13,General government,TOTAL,Total,TE,Total general government expenditure,DE,Germany,2021,,1865819.0,,,,,
dataflow,ESTAT:GOV_10A_EXP(1.0),General government expenditure by function (COFOG),A,Annual,MIO_EUR,Million euro,S13,General government,TOTAL,Total,TE,Total general government expenditure,DE,Germany,2022,,1939208.0,,p,provisional,,
dataflow,ESTAT:GOV_10A_EXP(1.0),General government expenditure by function (COFOG),A,Annual,MIO_EUR,Million euro,S13,General government,TOTAL,Total,TE,Total general government expenditure,DE,Germany,2023,,2031433.0,,p,provisional,,
dataflow,ESTAT:GOV_10A_EXP(1.0),General government expenditure by function (COFOG),A,Annual,MIO_EUR,Million euro,S13,General government,TOTAL,Total,TE,Total general government expenditure,DK,Denmark,2014,,146369.9,,,,,
dataflow,ESTAT:GOV_10A_EXP(1.0),General government expenditure by function (COFOG),A,Annual,MIO_EUR,Million euro,S13,General government,TOTAL,Total,TE,Total general government expenditure,DK,Denmark,2015,,148122.3,,,,,
dataflow,ESTAT:GOV_10A_EXP(1.0),General government expenditure by function (COFOG),A,Annual,MIO_EUR,Million euro,S13,General government,TOTAL,Total,TE,Total general government expenditure,DK,Denmark,2016,,147770.5,,,,,
